Requirement,Type
"To comply and be consistent with the requirements of the combined standards of ISO 9001, ISO 14001 and the COR program, as enhanced by OHSAS 18001, the IMS shall be supported by a set of core procedures and shall include, but not be limited to: control of documents and records;",Construction
"To comply and be consistent with the requirements of the combined standards of ISO 9001, ISO 14001 and the COR program, as enhanced by OHSAS 18001, the IMS shall be supported by a set of core procedures and shall include, but not be limited to: control of non-conforming product, activity or service;",Construction
"To comply and be consistent with the requirements of the combined standards of ISO 9001, ISO 14001 and the COR program, as enhanced by OHSAS 18001, the IMS shall be supported by a set of core procedures and shall include, but not be limited to: continual improvement;",Construction
"To comply and be consistent with the requirements of the combined standards of ISO 9001, ISO 14001 and the COR program, as enhanced by OHSAS 18001, the IMS shall be supported by a set of core procedures and shall include, but not be limited to: analysis of data;",Construction
"This Systems Acceptance Test (SAT) shall include a check that the devices are fully functional, complete and in good working order. ",Construction
This Systems Acceptance Test (SAT) shall be done under Ministry supervision;,Construction
This module shall support the integration of other agency’s RWIS stations into the ATMS software through the generic API.,Construction
"Third party IMS Audits shall be conducted as required under the ISO 9001 standard on the IMS-QMS or (IMS as required) by an accredited certification agency acceptable to Ministry and Project Co, each acting reasonably, and audit reports in respect of such External IMS Audits initiated by Project Co shall be made available to the Ministry Representative upon request.",Construction
These APIs shall be submitted by Project Co to the Ministry. ,Construction
These APIs must be submitted by Project Co to the Ministry for review.,Construction
The work stations shall be equipped with joy sticks or equivalent to manually control the CCTV cameras and other devices. ,Construction
"The work station computers shall be equipped with Windows 7 operating systems or higher, all required application software and a secure, login system to control access. ",Construction
The wireless network shall utilize SaskTel’s “Long Term Evolution” network or “4G LTE” for data communications on the Bypass.,Construction
"The wireless and fiber network shall be reliable and available 24 hours per day, and be capable of transmitting high quality video, data and voice over internet to and from the Data Hub located at 1 Research Drive, Regina, SK.",Construction
The wireless and fiber network shall be part of the Cyber Security Audit and Cyber Security Plan.,Construction
The WB and EB pre-screening sites will cover 2 lanes of traffic.,Construction
"The VMS units shall include the option of local control of the unit via a hand-held terminal or laptop. Maintenance staff shall have access to all message editing, diagnostic features and software through local control.",Construction
The VMS unit shall transmit the data over the wireless network to a local receiver and then via the fiber optic network to the Data Management Centre.,Construction
The VMS unit shall be part of the Cyber Security Audit and Cyber Security Plan requirements.,Construction
"The VMS shall perform in all weather conditions including fog, ice, snow, wind, rain, changing temperatures and different lighting. The VMS units shall be resistant to shock, dust, vibration, water, and temperatures within the specified range.",Construction
"The VMS shall be contained in an all-weather, metal enclosure and be capable of operation in a temperature range of -50 degrees C to + 50 degrees C.",Construction
"The VMS shall be accessible for maintenance purposes from the shoulder, or if necessary, from the travel lane with traffic management staff and signage, using a standard Ministry vehicle (“bucket truck”) with a lifting arm, controls and enclosure for a maintenance worker.",Construction
"The video wall units must be full high definition quality with an aspect ratio of 16:9, a display technology that can be properly cooled, and of a weight and size that can be structurally supported in the DMC.",Construction
The video wall shall include video management software that allows and supports configuration and transfer of images between the units.,Construction
The video wall shall fit in approximately 5 feet by 20 feet of space on the wall facing the operator work stations and be configurable into any combination of between 1 and 10 separate images.,Construction
The video wall shall be scalable to support two work stations on the Substantial Completion Date and up to 5 work stations in the future.,Construction
The video wall shall be located so that it is visible and clear to operators at all work stations. ,Construction
The video wall may be comprised of separate units. ,Construction
The Variable Message Signs (VMS) will inform motorists of incidents and weather-related events and will become part of the Ministry’s traffic management system that is operated from the Data Management Centre. ,Construction
The user names and passwords with the schedule shall be sent to the Ministry for review.,Construction
"The units will be housed in a full metal enclosure, with heating, fan and air conditioning and will include a sunshield that is installed over the housing to protect it from over-heating due to sun and to provide shade to the lens.",Construction
The unique operation of the DDI requires that CCTV cameras shall be installed by Project Co to monitor the operation of the interchange from the Data Management Centre. ,Construction
The traveller information system module shall provide the DMC operators at the Traffic Operations Hub with access and interfaces to communication media. ,Construction
The traveller information system module shall include all drivers and interfaces to the VMS network to permit operators to initiate messaging.,Construction
The traffic signals shall be constructed prior to the Phase One Substantial Completion Date at the Highway 46 / Highway 364 intersection.,Construction
"The traffic signal design shall be as per the design traffic volumes identified in Packages A through F of Appendix G and Package G to J of Appendix G which define requirements for design, installation, timing plan preparation, signal acceptance and operation and maintenance requirements.",Construction
"The traffic signal controller at the intersection of Highways 46 and 364 shall be remotely monitored, operated and controlled at the Data Management Centre with the ability to download changes and/or new signal timing plans and coordination schemes.",Construction
The Traffic Operations Hub will house the ITS Infrastructure related to operations including the traffic control room.,Construction
"The Traffic Manager shall have appropriate personnel and equipment available on call, at all times",Construction
The Traffic Manager or accepted alternate shall be on the Site at all times when Construction Activities are underway both during the Works and the OM&R Work and within 45 minutes of being notified during hours when no construction activity is underway.,Construction
"The thresholds for accuracy shall be tested against “ground truth” data on a corridor or location approved by the Ministry. The tests shall be conducted in coordination with the Ministry and Project Co for a representative set of traffic conditions including peak, off-peak, mid-day and weekend scenarios.",Construction
The thresholds for accuracy shall be tested against “ground truth” data on a corridor or location approved by the Ministry. ,Construction
The threat models in the Cyber Security Plan shall consider scenarios in which the attacker acquires physical access to the devices or cabinets as well as wireless and online access through the network;,Construction
"The tests shall be conducted in coordination with the Ministry and Project Co for a representative set of traffic conditions including peak, off-peak, mid-day and weekend scenarios.",Construction
"The test plan will include but not be limited to accuracy and reliability of the equipment, including WIM, LPR, CCTV, credentialing and classification technology.",Construction
"The TDC units shall support and integrate with the Ministry’s Windows 7 operating systems or higher. Performance shall be met under all weather conditions including fog, ice, snow, wind, dust, freezing rain, rain, changing temperatures and lighting.",Construction
The TDC units shall include a wireless modem to transmit the data to a local receiver and then to the Data Management Centre.,Construction
The TDC units shall be mountable at a height of between 2 to 15 metres.,Construction
"The TDC units shall be contained within a secure, outdoor, all-weather enclosed casing that is water-tight and sturdy. The TDC unit shall be resistant to sunlight, humidity, heat (within the specified range of temperatures), and frost.",Construction
"The TDC stations shall provide traffic data to be used as input into the Ministry’s incident management system, infrastructure planning and performance evaluation of the Bypass.",Construction
"The TDC stations shall count traffic in real time and shall transmit the data via the wireless network and fiber optic connection to the Ministry’s Data Management Centre (DMC) at the Data Hub located at 1 Research Drive, Regina, SK. The data will be monitored for possible highway incidents by DMC operators at the Traffic Operations Hub located at 1855 Victoria Avenue, Regina, SK.",Construction
"The TDC stations shall count all lanes simultaneously and be installed on a standard breakaway pole or an existing structure, that is accessible from the shoulder via maintenance vehicle.",Construction
The sunshield will not interfere with the field of view at any focus setting. All cables shall enter the enclosure from the rear or bottom of the enclosure.,Construction
"The specifications for the CCTV camera installed during the Construction Activities are as follows:
§  Power over Ethernet, which eliminates the need for power cables.",Construction
"The specifications for the CCTV camera installed during the Construction Activities are as follows:
§  Plan and tilt function if installed with an optional pan/tilt motor.",Construction
"The specifications for the CCTV camera installed during the Construction Activities are as follows:
§  Must be operational from -40 C to 45 C, and include a unique Arctic temperature control for powering up at very low temperatures following a power failure.",Construction
"The specifications for the CCTV camera installed during the Construction Activities are as follows:
§  HDTV 1080i r 720p regarding resolution, color fidelity, 16:9 format, and full frame rate.",Construction
"The specifications for the CCTV camera installed during the Construction Activities are as follows:
§  12X digital zoom and autofocus.",Construction
"The specifications for the CCTV camera installed during the Construction Activities are as follows:
§  10X optical zoom.",Construction
The software will support the continued development of a library of messages that can be used or edited for use on the VMS.,Construction
"The software shall provide a standard library of messages and also support the creation of customized messages by the Ministry for any or all VMS, remotely or from the Ministry Data Management Centre at the Traffic Operations Hub. ",Construction
"The software shall include diagnostics that will monitor the status and operation of the unit and alert the Ministry of any malfunction, loss of functionality, power or communication. ",Construction
The software shall be scalable to permit additional RWIS stations to be added to the network in the future.,Construction
The software shall allow the addition or removal of devices and corridors via an interactive graphic user interface (GUI).,Construction
The software and applications within the DMC shall be part of Project Co’s Cyber Security Audit and Cyber Security Plan.,Construction
"The size, height, illumination, and style of font shall be consistent with:
§ Best practices based on human factors guidelines.",Construction
"The size, height, illumination, and style of font shall be consistent with:
§ Ministry standards and guidelines for sign design; ",Construction
The signs shall be designed to be visible and legible at the required sight distance for the design speed and geometrics of the corridor. ,Construction
"The signal system and network shall be protected against any unauthorized operation of the signals, modifications or replacement of signal timing plans and parameters, and any access by non- authenticated users.",Construction
The RWIS station will include central software and device drivers for all equipment that will support the data management of the RWIS station.,Construction
The RWIS station will also provide data to guide maintenance decisions including requirements for plowing and application of de-icing chemicals and sand.,Construction
The RWIS station shall use these parameters to predict the formation of “black ice” on the corridor and adverse weather conditions that will require public advance warning and potential road closures. ,Construction
The RWIS station shall use the wireless network or a cellular modem connection to communicate with the Ministry Data Management Centre and transmit data. ,Construction
"The RWIS station shall include a CCTV camera, installed on a high mast pole or an existing structure with a view of the corridor. ",Construction
"The RWIS station shall house sensors and technology that monitor weather- related parameters including but not limited to: Local factors such as current surface pavement temperature measured with optical sensors, freezing point of liquid on the surface, depth of snow and rain, and pavement conditions (slush, icy, etc.).",Construction
"The RWIS station shall house sensors and technology that monitor weather- related parameters including but not limited to: Environmental variables such as ambient air temperature, barometric pressure, wind speed and direction, and relative humidity;",Construction
The RWIS station shall communicate with and be controlled from the Ministry Data Management Centre (Traffic Operations Hub) on a 24 hour basis. ,Construction
The RWIS station shall be located on Highway 1 east of the interchange between Tower Road and the Pilot Butte Access Road.  The RWIS station shall be interfaced with the local VMS on Highway 1.,Construction
"The RWIS station shall be designed and installed on a concrete pad, in a secure, fenced enclosure. ",Construction
The RWIS station and all devices shall be part of the Cyber Security Audit and Cyber Security Plan.,Construction
"The RWIS module will make recommendations to the operator on road closures, alerts and VMS messages.  ",Construction
The RWIS module shall provide the operator with control of the RWIS CCTV camera that will allow assessment of visibility and local conditions. ,Construction
"The RWIS module shall have interfaces to Saskatchewan emergency management and public safety agencies in the event of natural and local weather-related disasters including but not limited to provincial agencies, municipalities, RCMP, and Environment Canada. ",Construction
The Road Safety Audit Team shall also check for safety deficiencies that result from using particular combinations of design elements not previously detected.,Construction
The report shall include but not be limited to evaluation of the following factors: Signal loss;,Construction
The report shall include but not be limited to evaluation of the following factors: Security requirements; ,Construction
The report shall include but not be limited to evaluation of the following factors: Repeater sites if required;,Construction
The report shall include but not be limited to evaluation of the following factors: Network signal strength;,Construction
The report shall include but not be limited to evaluation of the following factors: Bandwidth and speed;,Construction
The report shall include but not be limited to evaluation of the following factors: Access requirements for maintenance,Construction
The recommendations of the Cyber Security Audit shall be used in the Cyber Security Plan.,Construction
The real-time data flow shall be received as “incoming” into the DMC Data Hub where it will be simultaneously processed into real time and archived formats and sent to the following locations: Real time traveller information media including Highway Hotline and other ATIS applications. The real time status will be displayed in the DMC Traffic Operations Hub for assessment by operators; ,Construction
The real-time data flow shall be received as “incoming” into the DMC Data Hub where it will be simultaneously processed into real time and archived formats and sent to the following locations: Archived storage for future retrieval by the Ministry via a web-based administrative portal.,Construction
The range of detection shall cover all lanes in the direction of travel including shoulders between 2 to 75 metres from the unit. Battery life expectancy shall meet or exceed 10 years.,Construction
The queries shall include an “all data” option to request information that will be provided in any available format. ,Construction
The quality control staff shall be independent of the Construction Project Co’s production and supervision staff and shall report directly to the Quality Control Manager.,Construction
The quality component of the IMS must be certified within 365 days from the Commercial Close.,Construction
The quality component of the IMS must be certified as being compliant with the ISO 9001 standard.,Construction
"The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: satisfying and ensuring compliance with Project Co’s health and safety obligations, including compliance with the health and safety regulatory requirements and in particular, the preparation and implementation of an Occupational Health and Safety Management System and specific plans;",Construction
The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: Internal IMS Audits;,Construction
The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: health and safety monitoring and reporting;,Construction
The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: health and safety incident reporting and tracking;,Construction
The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: External IMS Audits of Project Co Parties responsible for health and safety aspects of the Project;,Construction
The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: document management;,Construction
"The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: Corrective Actions, Preventative Actions and opportunities for improvement;",Construction
The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: control of Non-Conformances;,Construction
The Project Safety Plan shall include or reference the core system procedures and process flow charts for the following processes: control and retention of IMS Records.,Construction
The Project Safety Plan shall contain an organizational chart identifying Key Individuals and other key personnel responsible for environmental management and their relationship with the IMS Director as documented in Project Co’s IMS.,Construction
"The Project Safety Plan shall contain a description of the responsibilities, qualifications, and authority of the above personnel and the organizational interfaces between those responsible for health and safety management and other discipline such as management of Project design, construction and operations, maintenance and rehabilitation disciplines.",Construction
The Project Co shall submit to the Ministry’s Representative a “Road Safety Audit Certificate” in the form attached as Appendix E [Form of Certificates] to Schedule 9 in respect of the Temporary Traffic Accommodation On-Site Road Safety Audits. ,Construction
The Project Co shall submit Construction Certificates to the Ministry’s Representative.,Construction
The Project Co shall also design and prepare the ATMS software code with a generic API for other application interfaces. ,Construction
"The pre-screening sites shall be remotely linked to and controlled at the Data Management Centre, Traffic Operations Hub, for coordinated remote operation, analysis and support.",Construction
The pre-screening sites shall be part of Project Co’s Cyber Security Audit and Cyber Security Plan.,Construction
"The pre-screening sites shall be located at:
§ Highway 11, northwest of the Highway 11 interchange (median);",Construction
"The pre-screening sites shall be located at:
§ Highway 1, west of the Highway 1 interchange (median);",Construction
"The pre-screening sites shall be located at:
§ Bypass mainline, west of Highway 33 (WB traffic only); ",Construction
"The pre-screening sites shall be located at:
§ Bypass mainline, east of Highway 6 (EB traffic only).",Construction
The Post Construction Road Safety Audit shall review and identify potential safety enhancements that may reduce the frequency and/or the severity of collisions. ,Construction
The Post Construction Road Safety Audit shall be conducted after the roadway is paved and all signage and pavement markings are complete.,Construction
"The Post Construction Road Safety Audit Certificate shall be provided to the Independent Certifier and the Certificate of Substantial Completion shall not be issued unless a Post Construction Road Safety Audit Certificate has been submitted and signed by the Design Team, the Road Safety Audit Team, the Construction Project Co and the Project Co Representative.",Construction
"The portal users shall have the ability to request customized queries that will retrieve data by the following parameters: Temporal – by time of day, day of week, month or year;",Construction
The portal users shall have the ability to request customized queries that will retrieve data by the following parameters: Geographic – by corridor or location; ,Construction
The portal users shall have the ability to request customized queries that will retrieve data by the following parameters: Geo-fencing – by municipality or region.,Construction
The poles shall be installed as per the Saskatchewan Uniform Traffic Control Devices Manual. ,Construction
"The pole or existing structure must be acceptable in terms of visibility, accessibility for maintenance, and structural capacity to support the sign. ",Construction
"The pole or existing structure must be acceptable in terms of vibrations, line-of-sight and field of view. ",Construction
The Pilot Butte traffic signal controllers shall be part of the Cyber Security Audit and Cyber Security Plan.,Construction
The Pilot Butte DDI shall have two signal controllers (north and south ends) and six traffic signal heads (3 each in the north and south ends) as per the “typical” DDI design.,Construction
The Performance Monitoring Report shall set out Project Co’s calculation of each of the following (each stated separately): any Quality Failures and associated Quality Failure Points in respect of that month.,Construction
The Performance Monitoring Report shall set out Project Co’s calculation of each of the following (each stated separately): any Availability Failures in respect of that month;,Construction
The Performance Monitoring Report shall be submitted to the Ministry Representative within 5 Business Days following the end of each Payment Period.,Construction
The participants of thhe User Acceptance Testing require prior approval by the Ministry. ,Construction
"The operators shall have access to systems such as Highway Hotline, social media, VMS, traffic radio, and agency websites to provide information on road-related issues to the public and customers. ",Construction
The operator in control of the camera must discern details of possible incidents.,Construction
The OHS Manager for the Construction Project Co shall maintain the IMS-OHS throughout the duration of the Project Operations.,Construction
The OHS Manager for the Construction Project Co must achieve and maintain safety qualification in the form of a COR before the commencement of the Project.,Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline:
Non-Conformance Report log summarizing the Nonconformance Tracking System and providing the following: “status” (open, pending, closed);",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline:
Non-Conformance Report log summarizing the Nonconformance Tracking System and providing the following: “disposition” (repair, rework, reject or other disposition as agreeable to the Ministry);",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline:
Non-Conformance Report log summarizing the Nonconformance Tracking System and providing the following: “description of status” which describes the current status of the Non-Conformance, when closed and how it was closed;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline:
Non-Conformance Report log summarizing the Nonconformance Tracking System and providing the following: “date open”;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline:
Non-Conformance Report log summarizing the Nonconformance Tracking System and providing the following: ""date closed”;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline: Internal IMS Audits;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline: External IMS Audits;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline: Corrective Action and Preventative Action logs providing details of the Corrective Actions and Preventative Actions performed to date and their close-out status;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline: any third party IMS Audits performed during the month;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline: any continual improvement initiatives taken during the month;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline: any changes made to the IMS Documentation in compliance with the provisions of this Project Agreement.",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline: a summary of any inspection and testing activities conducted during the month;",Construction
"The monthly IMS information shall, as a minimum, include the following information separately identified for the IMS Manual and for each discipline:  a four month look-ahead schedule for planned future IMS Audits;",Construction
The monthly IMS information shall address all IMS management activities under each of the disciplines for that month and any outstanding IMS issues from prior months,Construction
"The Ministry shall review the final DMC design and specifications for hardware and shall install the DMC hardware. Upon receiving an endorsement “Reviewed” or “Reviewed as Noted”, Project o shall develop, test, install, operate, maintain and update the ITS application software on the hardware environment provided by the Ministry.",Construction
The Ministry shall make available to Project Co all the records Project Co delivers in the event of termination of this Project Agreement prior to the Expiry Date subject to prior reasonable notice.,Construction
The Ministry data centre shall be able to interrogate the RWIS station to acquire data on any single piece of equipment. ,Construction
The job specification and responsibilities of the IMS Director shall include the following: scheduling and coordinating Internal IMS Audits of key processes with Project Co’s personnel and with Project Co Parties;,Construction
The job specification and responsibilities of the IMS Director shall include the following: scheduling and coordinating External IMS Audits of key processes with Project Co’s personnel and with Project Co Parties;,Construction
The job specification and responsibilities of the IMS Director shall include the following: preparing IMS information for the Works Report and OM&R Monthly Report for submission to the Ministry Representative;,Construction
The job specification and responsibilities of the IMS Director shall include the following: preparing IMS Audit Plans of key processes with Project Co’s personnel and with Project Co Parties;,Construction
The job specification and responsibilities of the IMS Director shall include the following: maintaining and ensuring the effective operation of the IMS;,Construction
The job specification and responsibilities of the IMS Director shall include the following: liaising with the Ministry Representative and acting as the primary representative for Project Co on all matters relating to IMS management;,Construction
"The job specification and responsibilities of the IMS Director shall include the following: initiating management reviews, not less frequently than annually to ensure the effective operation and continuous improvement of the IMS;",Construction
The job specification and responsibilities of the IMS Director shall include the following: having the authority to immediately stop any work or activity which is not being performed or carried out in accordance with the IMS Documentation applicable thereto;,Construction
The job specification and responsibilities of the IMS Director shall include the following: ensuring that relevant IMS records are retained.,Construction
"The job specification and responsibilities of the IMS Director shall include the following: ensuring that all IMS Audits required are conducted, and reporting the findings of such audits to the Ministry Representative;",Construction
The job specification and responsibilities of the IMS Director shall include the following: coordinating all matters and issues relating to the certification of the quality management portion of the IMS;,Construction
The ITS devices on the Bypass shall have wireless modems that will send data to a receiver located on a local SaskTel tower.,Construction
"The ITS data will be available to Project Co and will be accessible through any web browser, using the administrative portal. ",Construction
The iris shall automatically close in the event of a power outage,Construction
The iris on the CCTV camera shall be automatically controlled but will be able to switch to manual control. ,Construction
"The Inspection and Test Plan shall, at a minimum, include reports and checklists required;",Construction
"The Inspection and Test Plan shall, at a minimum, include reference to standards, codes, specifications, and acceptance criteria;",Construction
"The Inspection and Test Plan shall, at a minimum, include quality assurance review, witness and hold points; ",Construction
"The Inspection and Test Plan shall, at a minimum, include personnel responsible for inspection, testing and monitoring activity;",Construction
"The Inspection and Test Plan shall, at a minimum, include frequency of inspections, tests and monitoring;",Construction
"The Inspection and Test Plan shall, at a minimum, include description and frequency of geotechnical instrumentation monitoring and adherence to acceptance criteria.",Construction
"The Inspection and Test Plan shall, at a minimum, include a description of the inspection, testing and monitoring activity;",Construction
